date,title,source,link,summary,sentiment_label,sentiment_score
2025-10-03,"NSE Revises Market Lots For Key Index Derivatives - Check New Nifty 50, Bank Nifty Lot Size",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/nse-revises-market-lots-for-key-index-derivatives-from-oct-28-check-new-nifty-50-bank-nifty-lot-size,"The National Stock Exchange of India has announced a revision in the market lot size of derivative contracts on select indices in line with the Securities and Exchange Board of India's and guidelines on periodic lot size review, effective October 28, as per a…",neutral,0.882292
2025-10-03,"FPIs Remain Net Sellers For Ninth Straight Session, Offload Stocks Worth Over Rs 1,500 Crore",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/fpis-remain-net-sellers-for-ninth-straight-session-offload-stocks-worth-over-rs-1500-crore,"Foreign portfolio investors (FPIs) extended their selling streak of Indian equities for the ninth consecutive day on Friday. The overseas investors offloaded shares worth Rs 1,583.37 crore, according to provisional data from the National Stock Exchange (NSE).…",positive,0.461005
2025-10-03,"Metals, PSU Banks power markets higher as Nifty reclaims 50-day moving average",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/metals-psu-banks-power-markets-higher-as-nifty-reclaims-50-day-moving-average/article70121437.ece,"Sensex climbs 223 points or 0.28% to close at 81,207, while Nifty 50 rises 57 points or 0.23% to settle at 24,894, reclaiming its crucial 50-day moving average at 24,830",positive,0.899458
2025-10-03,"Spending on AI is increasingly fueled by debt, Goldman Sachs says",NewsAPI - Fortune,https://fortune.com/2025/10/03/ai-is-increasingly-fuelled-by-debt-goldman-sachs-says/,"Big Tech companies used to buy in cash. Now they're issuing debt, too.",neutral,0.853074
2025-10-03,Rupee caps rough week on a quiet note but pressure likely to persist,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/forex/forex-news/rupee-caps-rough-week-on-a-quiet-note-but-pressure-likely-to-persist/articleshow/124289393.cms,"The Indian rupee closed slightly weaker on Friday, steadying just above its all-time low amid U.S.-India trade frictions and portfolio outflows. Despite frequent central bank interventions preventing steeper losses, the currency remained under pressure, with …",negative,0.889701
2025-10-03,Tilly Norwood is a warning and a lesson to humans about the future power of AI,NewsAPI - Fortune,https://fortune.com/2025/10/03/tilly-norwood-ai-warning-lesson/,Also: All the news and watercooler chat from Fortune.,neutral,0.934304
2025-10-03,"Equity markets steady at midday, metal stocks lead gains after RBI policy",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/stock-markets/equity-markets-steady-at-midday-metal-stocks-lead-gains-after-rbi-policy/article70120591.ece,The RBI kept the repo rate unchanged at 5.5% while lowering its FY26 inflation forecast to 2.6% from 3.1% and raising GDP growth projections to 6.8% from 6.5%,positive,0.504082
2025-10-03,"Top movers: Sensex, Nifty 50 erase early loss as metal stocks shine, Tata Steel, Hindalco lead gainers",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-mid-day-3rd-oct-sensex-nifty-50-erase-early-loss-as-metal-stocks-shine-tata-steel-hindalco-lead-gainers/article70120517.ece,"After a low opening, Sensex traded flat at 80,993.58 at 12.48 pm after reclaiming the 81,000 mark from the day’s low of 80,649.57 and Nifty 50 traded at 24,834.50, moderating between 24,747.55 and 24,855.70",negative,0.961196
2025-10-03,"Tata Motors stock leads Nifty 50 gainers on back of demerger, robust quarterly sales & JLR revival plans",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/stock-markets/tata-motors-stock-leads-nifty-50-gainers-on-back-of-demerger-robust-quarterly-sales-jlr-revival-plans/article70120238.ece,Tata Motors stock surged nearly 3% in early trade on Friday,positive,0.942425
2025-10-03,"Nifty Prediction Today – October 3, 2025: Nifty futures: Holds above a support",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-october-3-2025-nifty-futures-holds-above-a-support/article70120188.ece,"Nifty 50 opened today’s session with a gap-down at 24,760 versus Wednesday’s close of 24,836. It is currently hovering around 24,800, down about 0.2 per cent.",negative,0.970911
2025-10-03,Markets open flat despite RBI’s growth-supportive stance; Banks lead sectoral gains,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/markets-open-flat-despite-rbis-growth-supportive-stance-banks-lead-sectoral-gains/article70120178.ece,"Benchmark indices open lower, Nifty at 24,787.60; RBI holds repo rate, boosts growth outlook, metal stocks surge.",negative,0.962
2025-10-03,Tata Motors Shares Rise After Passenger Vehicle Sales Surge 47% To All-Time High,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/tata-motors-shares-rise-after-passenger-vehicle-sales-surge-to-all-time-high,"Tata Motors shares have risen over 1% in trade so far to Rs 735.4 apiece on the NSE. The gain compares to 0.24% decline in the Nifty 50. This comes after the company reported its highest-ever monthly passenger vehicle sales at 60,907 units in September, marki…",positive,0.950657
2025-10-03,Sammaan Capital Share Price Falls After IHC's Acquisition Bid,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/sammaan-capital-share-price-falls-after-ihc-acquisition-bid,Sammaan Capital Ltd. share price fell over 3% during early trade on Friday amid high trading volume after key corporate updates. Sammaan Capital share price fell 4.9% intraday to Rs 161.35 apiece. The benchmark NSE Nifty 50 was down 0.3%.,negative,0.976017
2025-10-03,"Sensex slips 200 pts, Nifty below 24,800 amid profit booking; IT, auto stocks fall",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/sensex-slips-200-pts-nifty-below-24800-amid-profit-booking-it-auto-stocks-fall/articleshow/124282394.cms,"Benchmark indices Nifty and Sensex traded lower on Friday, October 3, as investors booked profits after a significant Wednesday surge. Banks, FMCG, and IT stocks faced selling pressure, while metal and PSU bank stocks saw gains. The broader market, including …",negative,0.970457
2025-10-03,Nifty Holds Key Support - Could This Spark The Next Big Rally?,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/clsa-sees-nifty-in-consolidation-mode-key-support-zone-holds-upside-potential,"The Nifty 50 index continues to consolidate within a newly defined range, with no change in outlook, according to the latest technical note by CLSA’s Laurence Balanco. The index is currently trading between 24,337–24,432 on the lower end and 25,448–25,669 on …",neutral,0.829752
2025-10-03,Nifty's Short-Term Bottom Likely In Place -Time To Go Long?,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/niftys-short-term-bottom-likely-in-place-time-to-go-long,"October kicked off on an upbeat note, much like September’s start, bringing cheer to the markets. On the very first trading session of the month, the benchmark Nifty 50 snapped its eight-day losing streak and closed decisively above the 24,800 mark, gaining 2…",positive,0.907375
2025-10-03,"Day Trading Guide for October 3, 2025: Intraday supports, resistances for Nifty50 stocks",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-03/article70118031.ece,"The Day Trading Guide provides key intraday support and resistance levels to watch for on Nifty Futures and widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, and SBI",neutral,0.894128
2025-10-03,Trump and tariffs could decide the course of RBI rate revision,NewsAPI - The Times of India,https://economictimes.indiatimes.com/news/economy/policy/trump-and-tariffs-could-decide-the-course-of-rbi-rate-revision/articleshow/124280626.cms,US President Donald Trump will visit Kuala Lumpur for the summits of ASEAN and East Asia leaders from October 26 to 28. New Delhi would likely look at a possible bilateral meeting between Prime Minister Narendra Modi and President Trump and work out a trade d…,neutral,0.840427
2025-10-03,Trump and tariffs could decide the course of RBI rate revision,NewsAPI - The Times of India,https://economictimes.indiatimes.com/news/economy/policy/trump-and-tariffs-could-decide-the-course-of-rbi-rate-revision/articleshow/124278524.cms,US President Donald Trump will visit Kuala Lumpur for the summits of ASEAN and East Asia leaders from October 26 to 28. New Delhi would likely look at a possible bilateral meeting between Prime Minister Narendra Modi and President Trump and work out a trade d…,neutral,0.840427
2025-10-03,"Harbor Freight, FREE 5 gallon bucket with $29.99 purchase, ITC members receive bucket with any purchase, Oct 3-5",NewsAPI - Slickdeals.net,https://slickdeals.net/f/18656479-harbor-freight-free-5-gallon-bucket-with-29-99-purchase-itc-members-receive-bucket-with-any-purchase-oct-3-5,"Harbor Freight offers a coupon for a free five gallon bucket with $29.99 purchase. ITC members receive the bucket free with ANY purchase, valid October 3 - 5.

Note, no coupon required, automatically",neutral,0.948388
2025-10-03,"TCS hiring, cybersecurity moves under US, UK lens",NewsAPI - The Times of India,https://timesofindia.indiatimes.com/business/india-business/tcs-hiring-cybersecurity-moves-under-us-uk-lens/articleshow/124280510.cms,India Business News: BENGALURU: Tata Consultancy Services (TCS) is under scrutiny as lawmakers in both the US and UK press CEO K Krithivasan for answers regarding the comp.,negative,0.871393
2025-10-03,Margin trading bets surge past Rs 1 lakh crore in value despite volatile market,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/margin-trading-bets-surge-past-rs-1-lakh-crore-in-value-despite-volatile-market/articleshow/124280489.cms,"Jio Financial Services has been the most traded stock with borrowed funds from margin trading, with a combined amount financed of about ₹1416.6 crore. Tata Consultancy Services and Tata Motors also have funded bets worth ₹1,365.8 crore and ₹1,388.4 crore, res…",positive,0.877076
2025-10-03,Will WeWork India’s IPO attract investors amid mixed financial signals?,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/ipos/fpos/will-wework-indias-ipo-attract-investors-amid-mixed-financial-signals/articleshow/124280686.cms,"WeWork India is set to launch a ₹3,000 crore IPO, which will reduce the promoter's stake to 48.1%. Despite higher revenue and Ebitda than competitors, the company's recent FY25 profit of ₹128 crore is primarily attributed to a deferred tax credit. Geographic …",negative,0.917229
2025-10-03,Top 10 richest person in Kerala in 2025: Jewellery businessman secures #1 spot with Rs 59 lakh crore net worth,NewsAPI - The Indian Express,https://indianexpress.com/article/trending/top-10-listing/top-10-richest-person-in-kerala-2025-10285701/,"Top 10 billionaires in Kerala and their net worth in 2025: At the very top of the Malayali billionaires is Joy Alukkas, the chairman of the Joyalukkas Group. His fortune has now reached $6.7 billion, which is Rs 59 lakh crore, approximately.",neutral,0.840491
2025-10-03,"Private banks poised for strong rebound, says Parag Thakkar",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/expert-view/private-banks-poised-for-strong-rebound-says-parag-thakkar/articleshow/124286038.cms,"A market veteran sees a positive shift for India's financial sector. Private banks, including HDFC Bank and ICICI Bank, will lead future growth. FY27 is expected to be a landmark year for both private and public sector banks. Rate cuts and government measures…",positive,0.942158
2025-10-03,"Axis Bank shares rally 2% as Morgan Stanley predicts valuation gap to narrow with HDFC Bank, ICICI Bank; sets Rs 1,450 target",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/axis-bank-shares-rally-2-as-morgan-stanley-predicts-valuation-gap-to-narrow-with-hdfc-bank-icici-bank-sets-rs-1450-target/articleshow/124284211.cms,"Axis Bank surged after Morgan Stanley reaffirmed its ‘Overweight’ rating and raised the target price to ₹1,450, signaling a 25% upside. The broker highlighted that Axis Bank trades at a 30–40% discount to HDFC and ICICI Bank on a price-to-book basis, expectin…",positive,0.95241
2025-10-03,South Africa sells 1 billion rand of inflation-linked bonds at auction,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/south-africa-sells-1-billion-rand-of-inflation-linked-bonds-at-auction/articleshow/124289239.cms,"South Africa's government has sold 1 billion rand ($58 million) of its 2031 , 2038 and 2058 inflation-linked bonds at auction, central bank data showed on Friday.",neutral,0.830586
2025-10-03,"PNB, 3 other PSU banks raise state bond investment limits: Sources",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/pnb-3-other-psu-banks-raise-state-bond-investment-limits-sources/articleshow/124288068.cms,"At least four major state-owned Indian banks have increased their internal limits for investing in state bonds following discussions with the Reserve Bank of India last month, according to five treasury officials aware of the decisions.",positive,0.545827
2025-10-03,"Market Wrap: Sensex rises 224 points, Nifty above 24,850 as banks, consumer stocks drive second straight gain",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-rises-224-points-nifty-above-24850-as-banks-consumer-stocks-drive-second-straight-gain/articleshow/124289097.cms,"India's frontline indices Nifty and the BSE Sensex ended positive on Friday, recording their second successive gain in the week. Investors remained bullish on banks, consumer and metal stocks though Nifty and Sensex traded rangebound.",positive,0.924334
2025-10-03,"Market focus on inflation, earnings, labour data over US shutdown, India to see capital inflows in long run: Santosh Rao",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/expert-view/market-focus-on-inflation-earnings-labour-data-over-us-shutdown-india-to-see-capital-inflows-in-long-run-santosh-rao/articleshow/124285099.cms,The US government shutdown adds uncertainty to global trade negotiations. India's trade talks continue despite the political gridlock. Markets prioritize economic fundamentals like labor data and corporate earnings. Foreign institutional investors are pulling…,negative,0.900266
2025-10-03,Upcoming LG India IPO nears valuation of South Korea parent,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/ipos/fpos/upcoming-lg-india-ipo-nears-valuation-of-south-korea-parent/articleshow/124280557.cms,"LG Electronics India's upcoming IPO values the company at $8.7 billion, nearly matching its South Korean parent's market capitalization. Priced at ₹1,080-1,140 per share, analysts find its 35.1x P/E ratio attractive and cheaper than local peers like Whirlpool…",positive,0.924416
2025-10-03,UK to launch new 15-year bond via syndication in mid-October,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/uk-to-launch-new-15-year-bond-via-syndication-in-mid-october/articleshow/124289348.cms,"Britain will launch a new government bond maturing in January 2041 via a syndication in the week starting October 13, the United Kingdom Debt Management Office said on Friday.",neutral,0.895293
2025-10-03,Earkart shares to debut today. Check GMP ahead of listing,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/ipos/fpos/earkart-shares-to-debut-today-check-gmp-ahead-of-listing/articleshow/124281335.cms,"Earkart prepares for its BSE SME listing on October 3, following a Rs 49.26 crore IPO. Despite robust FY25 financials, including doubled net profit and 35% revenue growth, the offering saw muted retail interest and a 0% grey market premium. This suggests a fl…",negative,0.826083
2025-10-03,V-Mart Retail shares skyrocket 20% after Q2 update,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/v-mart-retail-shares-skyrocket-20-after-q2-update/articleshow/124287800.cms,V-Mart Retail Ltd shares surged nearly 20% on Friday after a robust Q2 FY26 update. The company reported 22% year-on-year revenue growth to Rs 807 crore and 11% same-store sales growth. Its expansion with 25 new stores further lifted investor sentiment.,positive,0.954786
2025-10-03,European bond yields seek direction amid dearth of US data,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/european-bond-yields-seek-direction-amid-dearth-of-us-data/articleshow/124289279.cms,"Euro zone bond yields were little changed on Friday amid a dearth of U.S. economic data due to the Washington government shutdown, with the release of the key U.S. jobs report likely being delayed.",negative,0.959131
