ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OI_Daily_Change,IV_Daily_Change
04-Nov-2025,Call,24000,225.0,75.0,1695.15,19.94956921792184,75.0,-1.4533341749560158
04-Nov-2025,Call,24200,75.0,,817.75,0.0,0.0,0.0
04-Nov-2025,Call,24450,75.0,,847.0,0.0,0.0,0.0
04-Nov-2025,Call,24500,1275.0,,1190.2,14.319116993990077,0.0,-0.4691096481489492
04-Nov-2025,Call,24600,675.0,,733.25,0.0,0.0,0.0
04-Nov-2025,Call,24650,375.0,,639.05,0.0,0.0,0.0
04-Nov-2025,Call,24700,2025.0,-1650.0,970.0,9.34495112615684,-1650.0,-4.842349640199098
04-Nov-2025,Call,24750,225.0,,960.5,13.734476337904992,0.0,13.734476337904992
04-Nov-2025,Call,24800,12525.0,6375.0,917.7,13.766162486693261,6375.0,-0.6368528010667127
04-Nov-2025,Call,24850,600.0,75.0,868.2,13.233564591330428,75.0,5.78907575160749
04-Nov-2025,Call,24900,8850.0,-900.0,856.0,15.254160248113093,-900.0,1.5857431310826744
04-Nov-2025,Call,24950,2700.0,,581.25,0.0,0.0,-12.808350728481027
04-Nov-2025,Call,25000,47175.0,-3750.0,744.95,13.284954611473744,-3750.0,0.1235047573945991
04-Nov-2025,Call,25050,2100.0,450.0,698.65,12.876323991486613,450.0,0.42722051335039524
04-Nov-2025,Call,25100,13725.0,-3000.0,644.0,11.947239105173667,-3000.0,-0.9198542008761041
04-Nov-2025,Call,25150,9150.0,-3225.0,607.7,12.089753898743982,-3225.0,-0.3507211102947583
04-Nov-2025,Call,25200,50250.0,8400.0,558.8,11.469763038764265,8400.0,-0.5017754316744636
04-Nov-2025,Call,25250,15675.0,-4275.0,521.25,11.438773402707184,-4275.0,-0.25833037870373765
04-Nov-2025,Call,25300,58125.0,-8625.0,475.3,10.921543840151024,-8625.0,-0.5249456849589471
04-Nov-2025,Call,25350,24150.0,-525.0,446.25,11.205025918728113,-525.0,-0.020273724241416602
04-Nov-2025,Call,25400,76725.0,23400.0,400.0,10.59282656005699,23400.0,-0.5651529097317827
04-Nov-2025,Call,25450,16875.0,3825.0,364.6,10.44820063325523,3825.0,-0.49035049248302087
04-Nov-2025,Call,25500,138675.0,50175.0,331.0,10.323185969438521,50175.0,-0.37617164823947213
04-Nov-2025,Call,25550,21150.0,15675.0,292.75,9.929716695857255,15675.0,-0.480371082053594
04-Nov-2025,Call,25600,106050.0,51825.0,264.6,9.913745739257674,51825.0,-0.2959726834114065
04-Nov-2025,Call,25650,12975.0,11400.0,242.0,10.063242132904612,11400.0,0.08921928782043764
04-Nov-2025,Call,25700,119700.0,-825.0,212.3,9.834019711579941,-825.0,-0.07904598771128768
04-Nov-2025,Call,25750,27750.0,15525.0,188.8,9.797046445593002,15525.0,-0.08133762286312773
04-Nov-2025,Call,25800,95250.0,34725.0,164.2,9.63564385191044,34725.0,-0.09679384922019452
